//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-24-2024
//--  Time: 18:27
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 100(C), 	Resistance 1: 187 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 0(C), 	Resistance 3: 5896 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
859	1.83	18 	4.194
860	1.57	16 	4.199
861	1.31	13 	4.204
862	1.04	10 	4.209
863	0.77	8 	4.214
864	0.51	5 	4.219
865	0.24	2 	4.224
866	-0.03	0 	4.229
867	-0.30	-3 	4.233
868	-0.57	-6 	4.238
869	-0.85	-8 	4.243
870	-1.12	-11 	4.248
871	-1.40	-14 	4.253
872	-1.67	-17 	4.258
873	-1.95	-19 	4.263
874	-2.23	-22 	4.268
875	-2.51	-25 	4.272
876	-2.79	-28 	4.277
877	-3.07	-31 	4.282
878	-3.36	-34 	4.287
879	-3.64	-36 	4.292
880	-3.93	-39 	4.297
881	-4.22	-42 	4.302
882	-4.51	-45 	4.307
883	-4.80	-48 	4.312
884	-5.09	-51 	4.316
885	-5.39	-54 	4.321
886	-5.68	-57 	4.326
887	-5.98	-60 	4.331
888	-6.28	-63 	4.336
889	-6.58	-66 	4.341
890	-6.88	-69 	4.346
891	-7.19	-72 	4.351
892	-7.49	-75 	4.355
893	-7.80	-78 	4.360
894	-8.11	-81 	4.365
895	-8.42	-84 	4.370
896	-8.73	-87 	4.375
897	-9.04	-90 	4.380
898	-9.36	-94 	4.385
899	-9.68	-97 	4.390
900	-10.00	-100 	4.395
901	-10.32	-103 	4.399
902	-10.64	-106 	4.404
903	-10.97	-110 	4.409
904	-11.29	-113 	4.414
905	-11.62	-116 	4.419
906	-11.95	-120 	4.424
907	-12.29	-123 	4.429
908	-12.62	-126 	4.434
909	-12.96	-130 	4.438
910	-13.30	-133 	4.443
911	-13.64	-136 	4.448
912	-13.99	-140 	4.453
913	-14.33	-143 	4.458
